SlatW,Num,,PoleH,Num
1,0,,1,0
2,0,,2,0
3,0,,3,0
4,0,,4,0
5,0,,5,0
6,39,,6,4
7,3,,7,20
8,85,,8,39
9,10,,9,25
10,34,,10,3
11,0,,,
12,13,,,
13,0,,,
14,0,,,
15,0,,,
16,0,,,
